事件代碼,事件名稱,年度,開始時間,結束時間,已下載時段,最後更新時間,狀態
R00474,2019_05200030豪雨,2019,2019/05/20 00:30,2019/05/21 00:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:43,已下載
R00473,2019_05192100豪雨,2019,2019/05/19 21:20,2019/05/20 00:20,"事件總累計,連續1小時,連續3小時",2026-09-11 09:41:45,已下載
R00472,2019_05181500豪雨,2019,2019/05/18 15:00,2019/05/19 15:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:47,已下載
R00471,2019_05180840豪雨,2019,2019/05/18 08:40,2019/05/18 14:40,"事件總累計,連續1小時,連續3小時,連續6小時",2026-09-11 09:41:49,已下載
R00469,2019_05170531豪雨,2019,2019/05/17 05:31,2019/05/18 05:31,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:51,已下載
T1822,山竹颱風,2018,2018/09/15 09:00,2018/09/16 09:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:53,已下載
R00448,2018_09080800豪雨,2018,2018/09/08 15:00,2018/09/09 15:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:55,已下載
R00443,2018_08221655豪雨,2018,2018/08/23 14:15,2018/08/24 14:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:57,已下載
T1808,瑪莉亞颱風,2018,2018/07/10 12:10,2018/07/11 12:10,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:59,已下載
R00409,2018_06190850豪雨,2018,2018/06/19 08:50,2018/06/20 08:50,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:01,已下載
R00405,2018_06131600豪雨,2018,2018/06/14 12:00,2018/06/15 12:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:03,已下載
R00382,2017_1011豪雨,2017,2017/10/14 09:20,2017/10/15 09:20,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:05,已下載
T1718,泰利颱風,2017,2017/09/13 00:10,2017/09/14 00:10,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:07,已下載
T1717,谷超颱風,2017,2017/09/06 10:00,2017/09/06 22:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:42:09,已下載
T1713,天鴿颱風,2017,2017/08/21 22:10,2017/08/22 22:10,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:11,已下載
T1709,尼莎暨海棠颱風,2017,2017/07/30 09:40,2017/07/31 09:40,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:13,已下載
R00351,2017_0613豪雨,2017,2017/06/16 15:45,2017/06/17 15:45,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:15,已下載
R00345,2017_0601豪雨,2017,2017/06/02 20:20,2017/06/03 20:20,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:17,已下載
R00329,2016_1006豪雨,2016,2016/10/09 15:45,2016/10/10 15:45,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:19,已下載
T1619,艾利颱風,2016,2016/10/06 12:55,2016/10/07 12:55,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:21,已下載
T1617,梅姬颱風,2016,2016/09/27 09:05,2016/09/28 09:05,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:23,已下載
T1616,馬勒卡颱風,2016,2016/09/17 03:10,2016/09/18 03:10,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:25,已下載
T1614,莫蘭蒂颱風,2016,2016/09/14 03:05,2016/09/15 03:05,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:27,已下載
T1601,尼伯特颱風,2016,2016/07/07 23:45,2016/07/08 23:45,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:29,已下載
R00277,2016_0610豪雨,2016,2016/06/10 23:15,2016/06/11 23:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:31,已下載
T1521,杜鵑颱風,2015,2015/09/28 02:40,2015/09/29 02:40,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:33,已下載
T1515,天鵝颱風,2015,2015/08/22 20:20,2015/08/23 20:20,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:35,已下載
T1513,蘇迪勒颱風,2015,2015/08/07 10:15,2015/08/08 10:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:37,已下載
T1509,昌鴻颱風,2015,2015/07/09 19:30,2015/07/10 19:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:39,已下載
T1510,蓮花颱風,2015,2015/07/07 22:35,2015/07/08 22:35,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:42,已下載
R00224,2015_0520豪雨,2015,2015/05/24 07:00,2015/05/25 07:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:44,已下載
T1506,紅霞颱風,2015,2015/05/10 14:00,2015/05/11 14:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:46,已下載
T1416,鳳凰颱風,2014,2014/09/20 16:35,2014/09/21 16:35,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:48,已下載
